ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"159.65.221.25","anonymous","AS14061","US","DigitalOcean, LLC","83","DigitalOcean, LLC","80","http","18492","100","25","25","2024-07-13T04:42:52.627Z","927"
"47.74.152.29","elite","N/A","SG","Alibaba Cloud LLC","251","N/A","8888","http","18882","98","89","91","2024-07-13T04:42:52.716Z","642"
"101.255.166.134","transparent","AS38511","ID","PT Remala Abadi","195","N/A","1111","http","105198","97","128","132","2024-07-13T04:42:18.103Z","3798"
"46.250.229.114","elite","AS141995","JP","Contabo Asia Private Limited","262","Yorkshire Tech Limited","8888","http","14599","100","42","42","2024-07-13T04:42:00.295Z","1697"
"67.43.236.20","elite","AS36666","CA","GloboTech Communications","85","N/A","3465","http","17393","100","41","41","2024-07-13T04:41:28.001Z","445"
"116.63.129.202","elite","AS134542","CN","China Unicom IP network","251","Huawei Cloud Service","6000","http","17093","88","29","33","2024-07-13T04:41:27.701Z","373"
"103.75.96.142","transparent","AS131111","ID","MORATELINDO","177","Moratelindo","1111","http","16597","97","38","39","2024-07-13T04:40:53.011Z","993"
"57.129.18.78","elite","AS16276","DE","OVH SAS","12","OVH GmbH","80","http","16613","100","40","40","2024-07-13T04:40:52.990Z","3202"
"23.134.91.77","transparent","N/A","US","GTHost","14","N/A","3128","http","16590","97","31","32","2024-07-13T04:40:18.700Z","495"
"49.13.9.253","elite","AS24940","DE","Hetzner Online GmbH","24","Hetzner","80","http","18017","98","40","41","2024-07-13T04:40:02.499Z","2409"
"136.226.65.34","elite","AS22616","US","ZSCALER, INC.","139","Zscaler, Inc.","10160","http","14498","92","36","39","2024-07-13T04:39:27.908Z","4300"
"160.86.242.23","elite","AS2527","JP","Sony Network Communications Inc","386","Sony Network Communications Inc.","8080","http","14309","100","38","38","2024-07-13T04:39:27.910Z","333"
"103.83.232.122","elite","AS136215","BD","Mohammad Masfiequr Rahaman & Rony Saha T/A SB NETWORK","196","N/A","80","http","19107","97","37","38","2024-07-13T04:38:57.804Z","445"
"103.127.220.70","transparent","AS150259","ID","PT Multi Guna Sinergi","297","PT Multi Guna Sinergi","8181","http","5193","94","44","47","2024-07-13T04:38:40.294Z","1186"
"191.102.254.9","transparent","AS262934","AR","IP·RED","292","N/A","8085","http","7610","100","50","50","2024-07-13T04:38:21.201Z","924"
"147.251.6.31","transparent","AS2852","CZ","CESNET z.s.p.o.","42","Masarykova univerzita - Ustav vypocetni techniky","3128","http","786","100","525","526","2024-07-13T04:38:21.205Z","701"
"36.85.115.91","transparent","AS7713","ID","PT. TELKOM INDONESIA","292","N/A","8080","http","14806","85","33","39","2024-07-13T04:37:48.905Z","940"
"111.206.0.98","elite","N/A","CN","China Unicom Beijing Province Network","159","N/A","8080","http","2997","95","734","772","2024-07-13T04:37:32.499Z","401"
